Ward_code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Incapacity_Benefit,Unemployment_Rate,Crime_Rate,Deliberate_Fires,GCSE_points,Unauthorised_Absence,Dependent_children,Public_Transport_Access,Homes_with_access,Wellbeing_score
E05000139,Kentish Town,Camden,78.57527739,23.60655738,2.524271845,5.688161482,76.56268892,0.363636364,344.350495,0.831154499,26.53061224,5.653912568,-0.872752891,7.7
E05000140,Kilburn,Camden,78.54164267,24.9122807,3.275862069,7.793561174,126.7279255,0.408163265,335.8977273,0.793891934,36.73469388,5.544464254,-5.363823893,7.6
E05000141,King's Cross,Camden,83.81194356,23.76681614,2.153846154,7.471864434,67.13506418,0.243902439,328.5575758,0.974725275,22.5,7.778819845,-2.245930951,7.5
E05000142,Regent's Park,Camden,80.67130986,27.55417957,2.418604651,6.397170518,51.19506841,0.561403509,342.8937173,0.852631579,28.82352941,6.808654901,6.702664103,7.5
E05000143,St Pancras and Somers Town,Camden,79.55239429,23.26086957,3.045454545,9.833327679,58.46908391,0.331125828,324.7986486,0.908056872,39.84615385,7.067932684,1.282438508,7.5
E05000144,Swiss Cottage,Camden,84.64513864,22.22222222,1.604278075,2.966837596,84.25389524,0.459770115,357.152381,0.91015299,14.69387755,6.166429566,-0.649803333,7.6
E05000145,West Hampstead,Camden,83.35623718,19.11764706,2.331606218,4.409114587,99.38705466,0.566801619,358.2152174,1.042792109,24.72222222,6.044165192,0.802354984,7.6
E05000146,Addiscombe,Croydon,80.52609178,19.08831909,1.74796748,4.956421331,83.5974547,0.23054755,348.2310811,1.387003405,18.20512821,4.624694894,-20.34038669,7.6
E05000147,Ashburton,Croydon,82.61542701,25.55331992,1.52284264,5.412689751,70.59926332,0.666666667,343.7450262,1.072948782,17.89473684,2.884615081,5.147389056,7.3
E05000148,Bensham Manor,Croydon,83.01265483,23.14487633,1.743119266,8.42750306,95.20557894,0.304878049,341.5642487,1.332632464,20.88888889,3.271723158,-10.3153333,7.5
E05000149,Broad Green,Croydon,80.23553092,27.3556231,1.86770428,8.368561264,135.0454706,1.447028424,323.4150442,1.551522171,21.88034188,4.700074408,-11.17908743,7.6
E05000150,Coulsdon East,Croydon,84.93240157,14.79452055,1.2,3.814446728,44.8265328,0.4,356.1195313,0.943615591,10.70175439,1.870646937,10.70168124,7.9
E05000151,Coulsdon West,Croydon,81.69712333,18.0878553,1.270718232,2.714728514,60.92644309,0.144404332,379.2494253,0.692585895,7.230769231,2.52261634,-5.067940608,7.9
E05000152,Croham,Croydon,81.38818487,19.8630137,1.552511416,4.537940787,80.63213054,0.25,345.2377358,1.228986587,12.57142857,3.30582292,-2.151213249,7.6
E05000153,Fairfield,Croydon,80.82348125,23.1884058,1.25,4.067164678,116.8797448,0.572916667,353.1071429,1.547379756,15.06329114,5.674121309,-10.47771942,7.6
E05000154,Fieldway,Croydon,80.10387732,26.67876588,2.071428571,10.22634397,81.84039337,2.478632479,323.4027473,1.919597792,33.73493976,2.916618205,-10.80952571,7.6
E05000155,Heathfield,Croydon,83.88370123,14.60055096,1.098265896,4.038638989,92.22202554,0.371747212,342.4281609,1.323452158,15.73770492,2.257409137,8.539141363,7.6
E05000156,Kenley,Croydon,81.65503905,15.40229885,1.076923077,3.88076679,51.04484178,0.195439739,347.8285714,1.077981143,10.13333333,1.909651344,0.591795999,7.9
E05000157,New Addington,Croydon,78.76135054,26.93266833,2.481751825,7.922956677,79.73428602,1.176470588,314.9653595,2.120325203,28.63636364,2.692080495,5.535295182,7.6
E05000158,Norbury,Croydon,81.57181258,26.43171806,1.171171171,6.366446616,87.27268763,0.237388724,344.3505556,1.141583166,14.81927711,3.093607647,-0.58362214,7.5
E05000159,Purley,Croydon,83.26582793,18.25396825,1.632653061,4.26163683,77.46089572,0.331125828,380.6455224,0.924575163,10.57142857,2.855053379,-8.535131992,7.9
E05000160,Sanderstead,Croydon,84.89368381,15.91511936,1.111111111,2.793017706,37.83527391,0.153256705,360.7891156,0.799476782,6.440677966,1.666422015,3.249250061,7.9
E05000161,Selhurst,Croydon,77.08376832,24.6728972,2.208333333,9.677613146,100.9929224,0.326975477,328.5872449,1.631276351,23.7962963,4.247124659,-12.44170165,7.5
E05000162,Selsdon and Ballards,Croydon,86.41740945,18.14671815,0.844155844,2.78193451,42.75656727,0.082987552,359.3,0.691192661,7.608695652,1.979112433,7.376015425,7.6
E05000163,Shirley,Croydon,84.3326755,18.79699248,1.160220994,4.651811906,58.60230855,0.274914089,344.6879781,0.961736334,17.28571429,1.965728957,-8.044311099,7.6
E05000164,South Norwood,Croydon,80.58566338,23.44827586,2.01754386,9.356552058,101.083872,1.074626866,350.4556338,1.293094883,22.61904762,3.873424191,-3.159583667,7.3
E05000165,Thornton Heath,Croydon,80.37164378,26.039783,2.00913242,11.1405338,94.32431696,0.299401198,340.5556075,1.41433034,21.61616162,3.270693526,-11.46596782,7.5
E05000166,Upper Norwood,Croydon,80.37545974,24.83516484,1.756756757,7.879856254,86.48737212,0.304878049,334.9205714,1.28297338,18,2.951032276,0.657667672,7.3
E05000167,Waddon,Croydon,78.12953385,20.64516129,2,6.423486633,77.5113708,0.862068966,349.392,1.46526087,22.82608696,3.631731605,6.255048459,7.6
